DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/13/2016,17:25,MANHATTAN,10075,40.7713904,-73.9504303,"(40.7713904, -73.9504303)",EAST 79 STREET,YORK AVENUE,,2,0,0,0,1,0,1,0,Traffic Control Disregarded,Lost Consciousness,,,,3404596,MOTORCYCLE,BICYCLE,,,
03/13/2016,17:17,MANHATTAN,10012,40.7242353,-73.9977848,"(40.7242353, -73.9977848)",PRINCE STREET,BROADWAY,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,3404543,SPORT UTILITY / STATION WAGON,BICYCLE,,,
03/13/2016,14:30,MANHATTAN,10031,40.8252325,-73.9476044,"(40.8252325, -73.9476044)",WEST 145 STREET,AMSTERDAM AVENUE,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3410200,PASSENGER VEHICLE,BICYCLE,,,
03/14/2016,12:30,MANHATTAN,10010,40.7415271,-73.993793,"(40.7415271, -73.993793)",,,670 6TH AVE,1,0,0,0,1,0,0,0,Illness,Illness,,,,3406826,PASSENGER VEHICLE,BICYCLE,,,
03/15/2016,22:37,MANHATTAN,10011,40.7397514,-74.0025224,"(40.7397514, -74.0025224)",WEST 14 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Prescription Medication,Prescription Medication,,,,3406496,PASSENGER VEHICLE,BICYCLE,,,
03/15/2016,15:15,MANHATTAN,10001,40.7472771,-73.9896169,"(40.7472771, -73.9896169)",WEST 30 STREET,AVENUE OF THE AMERICAS,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3407209,BICYCLE,,,,
03/15/2016,14:25,MANHATTAN,10016,40.7436009,-73.9817755,"(40.7436009, -73.9817755)",,,150 LEXINGTON AVENUE,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3407144,PASSENGER VEHICLE,BICYCLE,,,
03/16/2016,5:10,MANHATTAN,10065,40.7608574,-73.9610689,"(40.7608574, -73.9610689)",EAST 61 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3408456,PASSENGER VEHICLE,BICYCLE,,,
03/16/2016,20:33,MANHATTAN,10023,40.768891,-73.9820935,"(40.768891, -73.9820935)",WEST 60 STREET,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3408002,PASSENGER VEHICLE,BICYCLE,,,
03/17/2016,19:00,MANHATTAN,10031,40.827776,-73.9457487,"(40.827776, -73.9457487)",WEST 149 STREET,AMSTERDAM AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3410210,PASSENGER VEHICLE,BICYCLE,,,
03/17/2016,18:10,MANHATTAN,10009,40.7281758,-73.9848573,"(40.7281758, -73.9848573)",1 AVENUE,EAST 9 STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3406336,PASSENGER VEHICLE,BICYCLE,,,
03/17/2016,14:46,MANHATTAN,10009,40.7226723,-73.9829645,"(40.7226723, -73.9829645)",EAST 3 STREET,AVENUE B,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406307,VAN,BICYCLE,,,
03/17/2016,12:45,MANHATTAN,10016,40.743324,-73.9840744,"(40.743324, -73.9840744)",PARK AVENUE SOUTH,EAST 28 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406845,PASSENGER VEHICLE,BICYCLE,,,
03/17/2016,11:20,MANHATTAN,10019,40.7623963,-73.9786009,"(40.7623963, -73.9786009)",AVENUE OF THE AMERICAS,WEST 54 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3408038,PASSENGER VEHICLE,BICYCLE,,,
03/18/2016,22:30,MANHATTAN,10029,40.7891361,-73.9464411,"(40.7891361, -73.9464411)",,,1851 THIRD AVE,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3409384,PASSENGER VEHICLE,BICYCLE,,,
03/18/2016,14:49,MANHATTAN,10011,40.744099,-73.9956441,"(40.744099, -73.9956441)",WEST 23 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3406462,PASSENGER VEHICLE,BICYCLE,,,
03/19/2016,4:00,MANHATTAN,10003,40.731686,-73.9821973,"(40.731686, -73.9821973)",,,245 1ST AVE,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3406852,PASSENGER VEHICLE,BICYCLE,,,
03/19/2016,0:10,MANHATTAN,10022,40.7606005,-73.9643142,"(40.7606005, -73.9643142)",EAST 59 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3408520,BICYCLE,PASSENGER VEHICLE,,,
03/21/2016,9:00,MANHATTAN,10022,40.7599831,-73.9648018,"(40.7599831, -73.9648018)",EAST 58 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Turning Improperly,,,,3407609,PASSENGER VEHICLE,BICYCLE,,,
03/21/2016,16:30,MANHATTAN,10003,40.7365615,-73.9890159,"(40.7365615, -73.9890159)",PARK AVENUE SOUTH,EAST 17 STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3406872,PASSENGER VEHICLE,BICYCLE,,,
03/22/2016,21:18,MANHATTAN,10012,40.7296864,-73.9986037,"(40.7296864, -73.9986037)",WEST 3 STREET,THOMPSON STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405926,PASSENGER VEHICLE,BICYCLE,,,
03/22/2016,20:45,MANHATTAN,10014,40.7286048,-74.0053146,"(40.7286048, -74.0053146)",VARICK STREET,WEST HOUSTON STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405253,PASSENGER VEHICLE,BICYCLE,,,
03/22/2016,17:00,MANHATTAN,10001,40.7472771,-73.9896169,"(40.7472771, -73.9896169)",WEST 30 STREET,AVENUE OF THE AMERICAS,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3407231,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,23:20,MANHATTAN,10027,40.8135299,-73.9563706,"(40.8135299, -73.9563706)",,,501 WEST 125 STREET,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3410033,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,21:10,MANHATTAN,10033,40.8442006,-73.9356515,"(40.8442006, -73.9356515)",WEST 174 STREET,AUDUBON AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3410536,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,15:35,MANHATTAN,10038,40.7062324,-74.0031595,"(40.7062324, -74.0031595)",SOUTH STREET,FULTON STREET,,1,0,0,0,1,0,0,0,,,,,,3405262,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,12:25,MANHATTAN,10013,40.7206092,-74.0084706,"(40.7206092, -74.0084706)",HUDSON STREET,BEACH STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3405259,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,12:00,MANHATTAN,10036,40.760927,-73.9945276,"(40.760927, -73.9945276)",WEST 44 STREET,10 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3408098,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,9:00,MANHATTAN,10001,40.7521904,-73.9934636,"(40.7521904, -73.9934636)",WEST 34 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Turning Improperly,,,,3407283,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,19:20,MANHATTAN,10002,40.7200764,-73.9883549,"(40.7200764, -73.9883549)",RIVINGTON STREET,LUDLOW STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3406132,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,16:30,MANHATTAN,10029,40.7979446,-73.9421216,"(40.7979446, -73.9421216)",EAST 115 STREET,LEXINGTON AVENUE,,1,0,0,0,1,0,0,0,Physical Disability,Physical Disability,,,,3409754,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,16:00,MANHATTAN,10026,40.8044198,-73.9553688,"(40.8044198, -73.9553688)",WEST 116 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3410130,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,13:37,MANHATTAN,10016,40.7484317,-73.9824707,"(40.7484317, -73.9824707)",EAST 35 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3448013,PASSENGER VEHICLE,BICYCLE,,,
03/24/2016,13:08,MANHATTAN,10021,40.7713874,-73.9564776,"(40.7713874, -73.9564776)",EAST 76 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3408583,PASSENGER VEHICLE,BICYCLE,,,
03/25/2016,23:26,MANHATTAN,10037,40.8141049,-73.9408539,"(40.8141049, -73.9408539)",WEST 135 STREET,LENOX AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3410482,PASSENGER VEHICLE,BICYCLE,,,
03/25/2016,13:20,MANHATTAN,10036,40.7587061,-73.9892758,"(40.7587061, -73.9892758)",,,300 WEST 44 STREET,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3407258,SMALL COM VEH(4 TIRES),BICYCLE,,,
03/27/2016,21:40,MANHATTAN,10003,40.7290083,-73.9937473,"(40.7290083, -73.9937473)",BROADWAY,WASHINGTON PLACE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405941,PASSENGER VEHICLE,BICYCLE,,,
03/28/2016,9:00,MANHATTAN,10018,40.7540322,-73.993846,"(40.7540322, -73.993846)",,,344 WEST 36 STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3407270,BICYCLE,PASSENGER VEHICLE,,,
03/30/2016,20:00,MANHATTAN,10027,40.8121027,-73.949757,"(40.8121027, -73.949757)",WEST 128 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3410354,PASSENGER VEHICLE,BICYCLE,,,
03/30/2016,18:20,MANHATTAN,10037,40.8204372,-73.9362273,"(40.8204372, -73.9362273)",WEST 145 STREET,LENOX AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3410352,BICYCLE,PASSENGER VEHICLE,,,
03/30/2016,14:36,MANHATTAN,10009,40.7252872,-73.9779779,"(40.7252872, -73.9779779)",AVENUE C,EAST 9 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406346,PASSENGER VEHICLE,BICYCLE,,,
03/30/2016,12:20,MANHATTAN,10065,40.7608574,-73.9610689,"(40.7608574, -73.9610689)",1 AVENUE,EAST 61 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3408671,PASSENGER VEHICLE,BICYCLE,,,
03/30/2016,11:00,MANHATTAN,10010,40.7388307,-73.9831481,"(40.7388307, -73.9831481)",EAST 23 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3406924,OTHER,BICYCLE,,,
03/31/2016,20:02,MANHATTAN,10012,40.7203211,-73.9940403,"(40.7203211, -73.9940403)",BOWERY,DELANCEY STREET,,1,0,0,0,1,0,0,0,Driver Inexperience,Driver Inexperience,,,,3405714,BICYCLE,PASSENGER VEHICLE,,,
03/31/2016,19:33,MANHATTAN,10002,40.7158932,-73.9864906,"(40.7158932, -73.9864906)",,,410 GRAND STREET,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3406167,PASSENGER VEHICLE,BICYCLE,,,
04/01/2016,23:50,MANHATTAN,10029,40.7954625,-73.9460279,"(40.7954625, -73.9460279)",PARK AVENUE,EAST 110 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3409456,PASSENGER VEHICLE,BICYCLE,,,
04/01/2016,19:39,MANHATTAN,10018,40.7589782,-73.9939358,"(40.7589782, -73.9939358)",WEST 42 STREET,DYER AVENUE,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3406606,PASSENGER VEHICLE,BICYCLE,,,
04/01/2016,16:10,MANHATTAN,10001,40.752237,-73.9914893,"(40.752237, -73.9914893)",,,247 WEST 35 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3407308,BICYCLE,VAN,,,
04/01/2016,15:45,MANHATTAN,10033,40.8541683,-73.9337044,"(40.8541683, -73.9337044)",BROADWAY,WEST 187 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3410765,BICYCLE,PASSENGER VEHICLE,,,
04/01/2016,12:10,MANHATTAN,10024,40.785171,-73.9731337,"(40.785171, -73.9731337)",WEST 84 STREET,COLUMBUS AVENUE,,1,0,0,0,1,0,0,0,Physical Disability,Physical Disability,,,,3409189,PASSENGER VEHICLE,BICYCLE,,,
04/02/2016,20:00,MANHATTAN,10013,40.7225499,-74.006299,"(40.7225499, -74.006299)",CANAL STREET,VARICK STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405360,PASSENGER VEHICLE,BICYCLE,,,
04/02/2016,19:50,MANHATTAN,10039,40.8248126,-73.9367868,"(40.8248126, -73.9367868)",7 AVENUE,WEST 150 STREET,,1,0,0,0,1,0,0,0,Turning Improperly,Turning Improperly,,,,3410370,PASSENGER VEHICLE,BICYCLE,,,
04/02/2016,19:08,MANHATTAN,10011,40.744099,-73.9956441,"(40.744099, -73.9956441)",WEST 23 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Prescription Medication,Prescription Medication,,,,3406596,PASSENGER VEHICLE,BICYCLE,,,
04/02/2016,12:00,MANHATTAN,10003,40.7373303,-73.9926531,"(40.7373303, -73.9926531)",5 AVENUE,EAST 16 STREET,,1,0,0,0,1,0,0,0,Illness,Illness,,,,3406950,PASSENGER VEHICLE,BICYCLE,,,
04/02/2016,11:30,MANHATTAN,10019,40.7647907,-73.9842822,"(40.7647907, -73.9842822)",WEST 54 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3408232,PASSENGER VEHICLE,BICYCLE,,,
04/03/2016,23:00,MANHATTAN,10001,40.7528767,-73.995113,"(40.7528767, -73.995113)",,,360 WEST 34 STREET,2,0,0,0,1,0,1,0,Passenger Distraction,Passenger Distraction,,,,3407332,PASSENGER VEHICLE,BICYCLE,,,
04/05/2016,9:11,MANHATTAN,10017,40.7551925,-73.9712183,"(40.7551925, -73.9712183)",EAST 49 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3407744,PASSENGER VEHICLE,BICYCLE,,,
04/05/2016,9:00,MANHATTAN,10023,40.7722094,-73.9821793,"(40.7722094, -73.9821793)",WEST 64 STREET,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3409210,PASSENGER VEHICLE,BICYCLE,,,
04/05/2016,13:10,MANHATTAN,10011,40.7455483,-73.9990689,"(40.7455483, -73.9990689)",,,309 WEST 23 STREET,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3406639,PASSENGER VEHICLE,BICYCLE,,,
04/06/2016,21:00,MANHATTAN,10012,40.7284238,-73.9996789,"(40.7284238, -73.9996789)",THOMPSON STREET,BLEECKER STREET,,2,0,0,0,1,0,1,0,Lost Consciousness,Lost Consciousness,,,,3405987,MOTORCYCLE,BICYCLE,,,
04/06/2016,20:55,MANHATTAN,10016,40.7503422,-73.983174,"(40.7503422, -73.983174)",5 AVENUE,EAST 37 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3407367,PASSENGER VEHICLE,BICYCLE,,,
04/07/2016,9:05,MANHATTAN,10023,40.7768989,-73.9754586,"(40.7768989, -73.9754586)",CENTRAL PARK WEST,WEST 73 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3409223,PASSENGER VEHICLE,BICYCLE,,,
04/07/2016,7:50,MANHATTAN,10021,40.7710996,-73.9659332,"(40.7710996, -73.9659332)",EAST 71 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3408803,PASSENGER VEHICLE,BICYCLE,,,
04/07/2016,22:00,MANHATTAN,10003,40.735214,-73.9917152,"(40.735214, -73.9917152)",EAST 14 STREET,UNIVERSITY PLACE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405993,PASSENGER VEHICLE,BICYCLE,,,
04/07/2016,15:55,MANHATTAN,10031,40.8259047,-73.9471161,"(40.8259047, -73.9471161)",WEST 146 STREET,AMSTERDAM AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3410254,PASSENGER VEHICLE,BICYCLE,,,
04/07/2016,14:30,MANHATTAN,10010,40.7402615,-73.9905165,"(40.7402615, -73.9905165)",WEST 21 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Illness,Illness,Illness,,,3406988,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
04/07/2016,11:15,MANHATTAN,10022,40.7579515,-73.9631966,"(40.7579515, -73.9631966)",,,1031 FIRST AVE,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3407765,BICYCLE,PASSENGER VEHICLE,,,
04/08/2016,22:10,MANHATTAN,10026,40.8020241,-73.9496815,"(40.8020241, -73.9496815)",WEST 116 STREET,LENOX AVENUE,,1,0,0,0,1,0,0,0,Driver Inexperience,Driver Inexperience,,,,3410174,PASSENGER VEHICLE,BICYCLE,,,
04/08/2016,21:20,MANHATTAN,10011,40.7452931,-73.9984879,"(40.7452931, -73.9984879)",8 AVENUE,WEST 23 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3406664,PASSENGER VEHICLE,BICYCLE,,,
04/08/2016,20:20,MANHATTAN,10003,40.7294989,-73.9861307,"(40.7294989, -73.9861307)",,,209 EAST 10 STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406384,PASSENGER VEHICLE,BICYCLE,,,
04/09/2016,1:42,MANHATTAN,10009,40.7319824,-73.9819663,"(40.7319824, -73.9819663)",1 AVENUE,EAST 15 STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3407001,BICYCLE,PASSENGER VEHICLE,,,
04/09/2016,17:30,MANHATTAN,10016,40.7497247,-73.9836217,"(40.7497247, -73.9836217)",5 AVENUE,EAST 36 STREET,,1,0,0,0,1,0,0,0,,,,,,3407390,PASSENGER VEHICLE,BICYCLE,PASSENGER VEHICLE,,
04/09/2016,14:45,MANHATTAN,10025,40.7991318,-73.9666629,"(40.7991318, -73.9666629)",AMSTERDAM AVENUE,WEST 104 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3409627,PASSENGER VEHICLE,BICYCLE,,,
04/09/2016,11:55,MANHATTAN,10035,40.8020766,-73.9340633,"(40.8020766, -73.9340633)",2 AVENUE,EAST 124 STREET,,1,0,0,0,1,0,0,0,Prescription Medication,Prescription Medication,,,,3409896,PASSENGER VEHICLE,BICYCLE,,,
04/10/2016,21:15,MANHATTAN,10018,40.7545014,-73.9917922,"(40.7545014, -73.9917922)",,,557 8 AVENUE,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3407404,PASSENGER VEHICLE,BICYCLE,,,
04/10/2016,20:15,MANHATTAN,10003,40.7370498,-73.9865332,"(40.7370498, -73.9865332)",IRVING PLACE,EAST 19 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3407012,PASSENGER VEHICLE,BICYCLE,,,
04/10/2016,18:28,MANHATTAN,10037,40.8114752,-73.9404806,"(40.8114752, -73.9404806)",,,45 WEST 132 STREET,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3410419,PASSENGER VEHICLE,BICYCLE,,,
04/10/2016,15:20,MANHATTAN,10025,40.798471,-73.9690036,"(40.798471, -73.9690036)",BROADWAY,WEST 102 STREET,,1,0,0,0,1,0,0,0,Backing Unsafely,Backing Unsafely,,,,3409630,PASSENGER VEHICLE,BICYCLE,,,
04/10/2016,12:00,MANHATTAN,10013,40.7208537,-74.0039287,"(40.7208537, -74.0039287)",WOOSTER STREET,CANAL STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405442,PASSENGER VEHICLE,BICYCLE,,,
04/11/2016,16:45,MANHATTAN,10016,40.7459208,-73.9863943,"(40.7459208, -73.9863943)",WEST 30 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3407412,PASSENGER VEHICLE,BICYCLE,,,
04/12/2016,10:30,MANHATTAN,10025,40.794651,-73.9717827,"(40.794651, -73.9717827)",BROADWAY,WEST 96 STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3409634,PASSENGER VEHICLE,BICYCLE,,,
04/13/2016,21:33,MANHATTAN,10128,40.7806906,-73.9465923,"(40.7806906, -73.9465923)",1 AVENUE,EAST 92 STREET,,1,0,0,0,1,0,0,0,Driver Inexperience,Driver Inexperience,,,,3408895,PASSENGER VEHICLE,BICYCLE,,,
